,i_y1,s_y1,r_y1,i_y2,s_y2,r_y2,i_z1,s_z1,r_z1,i_z2,s_z2,r_z2
0,3,True,2.3086037635803223,3,True,2.3086037635803223,4,True,9.370057344436646,4,True,9.370057344436646
1,3,True,2.3590009212493896,3,True,2.3590009212493896,4,True,9.136074542999268,4,True,9.136074542999268
2,3,True,2.30489182472229,3,True,2.30489182472229,3,True,6.436939716339111,3,True,6.436939716339111
3,3,True,2.475795030593872,3,True,2.475795030593872,3,True,6.625798225402832,3,True,6.625798225402832
4,3,True,2.36065936088562,3,True,2.36065936088562,4,True,9.312319278717041,4,True,9.312319278717041
5,3,True,2.496340274810791,3,True,2.496340274810791,4,True,8.702623844146729,4,True,8.702623844146729
6,3,True,2.189568042755127,3,True,2.189568042755127,4,True,9.132810354232788,4,True,9.132810354232788
7,3,True,2.4942617416381836,3,True,2.4942617416381836,3,True,6.619699001312256,3,True,6.619699001312256
8,3,True,2.168642997741699,3,True,2.168642997741699,4,True,8.408568143844604,4,True,8.408568143844604
9,3,True,2.1379454135894775,3,True,2.1379454135894775,4,True,8.538673877716064,4,True,8.538673877716064
10,3,True,2.413370370864868,3,True,2.413370370864868,3,True,6.693780422210693,3,True,6.693780422210693
11,3,True,2.3039119243621826,3,True,2.3039119243621826,4,True,8.870995283126831,4,True,8.870995283126831
12,3,True,2.3285322189331055,3,True,2.3285322189331055,3,True,6.461372375488281,3,True,6.461372375488281
13,3,True,2.41884183883667,3,True,2.41884183883667,4,True,9.80607533454895,4,True,9.80607533454895
14,3,True,2.2351455688476562,3,True,2.2351455688476562,3,True,6.377113103866577,3,True,6.377113103866577
15,3,True,2.5134353637695312,3,True,2.5134353637695312,4,True,9.015702962875366,4,True,9.015702962875366
16,3,True,2.5716941356658936,3,True,2.5716941356658936,3,True,6.694740056991577,3,True,6.694740056991577
17,3,True,2.376375198364258,3,True,2.376375198364258,4,True,8.913827419281006,4,True,8.913827419281006
18,4,True,3.1140081882476807,4,True,3.1140081882476807,4,True,9.257261753082275,4,True,9.257261753082275
19,4,True,2.906662940979004,4,True,2.906662940979004,4,True,7.990227937698364,4,True,7.990227937698364
20,3,True,2.214751958847046,3,True,2.214751958847046,4,True,9.265673875808716,4,True,9.265673875808716
21,3,True,2.2306289672851562,3,True,2.2306289672851562,4,True,8.701318502426147,4,True,8.701318502426147
22,3,True,2.1679799556732178,3,True,2.1679799556732178,3,True,6.706141471862793,3,True,6.706141471862793
23,3,True,2.5027427673339844,3,True,2.5027427673339844,3,True,6.180447101593018,3,True,6.180447101593018
24,4,True,2.979757785797119,4,True,2.979757785797119,3,True,6.786810874938965,3,True,6.786810874938965
25,3,True,2.5244572162628174,3,True,2.5244572162628174,3,True,6.951152324676514,3,True,6.951152324676514
26,3,True,2.2648608684539795,3,True,2.2648608684539795,3,True,6.942248821258545,3,True,6.942248821258545
27,3,True,2.3218042850494385,3,True,2.3218042850494385,3,True,6.384361743927002,3,True,6.384361743927002
28,3,True,2.3659114837646484,3,True,2.3659114837646484,4,True,9.243372201919556,4,True,9.243372201919556
29,3,True,2.4967291355133057,3,True,2.4967291355133057,3,True,7.014397859573364,3,True,7.014397859573364
30,3,True,2.277928113937378,3,True,2.277928113937378,4,True,8.765707015991211,4,True,8.765707015991211
31,3,True,2.2432708740234375,3,True,2.2432708740234375,3,True,6.5280351638793945,3,True,6.5280351638793945
32,3,True,2.865312099456787,3,True,2.865312099456787,3,True,6.560198545455933,3,True,6.560198545455933
33,3,True,2.202754020690918,3,True,2.202754020690918,4,True,8.553234100341797,4,True,8.553234100341797
34,3,True,2.2371315956115723,3,True,2.2371315956115723,4,True,9.11074447631836,4,True,9.11074447631836
35,3,True,2.201751947402954,3,True,2.201751947402954,4,True,8.994298458099365,4,True,8.994298458099365
36,4,True,3.0019025802612305,4,True,3.0019025802612305,4,True,9.374615669250488,4,True,9.374615669250488
37,4,True,3.0016326904296875,4,True,3.0016326904296875,3,True,6.687420845031738,3,True,6.687420845031738
38,3,True,2.289785146713257,3,True,2.289785146713257,4,True,8.467734575271606,4,True,8.467734575271606
39,3,True,2.3533012866973877,3,True,2.3533012866973877,4,True,8.614370584487915,4,True,8.614370584487915
40,3,True,2.357372760772705,3,True,2.357372760772705,3,True,6.597355604171753,3,True,6.597355604171753
41,3,True,2.1932880878448486,3,True,2.1932880878448486,4,True,8.73890233039856,4,True,8.73890233039856
42,3,True,2.1450557708740234,3,True,2.1450557708740234,4,True,8.414338827133179,4,True,8.414338827133179
43,3,True,2.1961171627044678,3,True,2.1961171627044678,3,True,6.490547180175781,3,True,6.490547180175781
44,4,True,3.0307579040527344,4,True,3.0307579040527344,4,True,8.75927209854126,4,True,8.75927209854126
45,3,True,2.496272087097168,3,True,2.496272087097168,4,True,8.618709087371826,4,True,8.618709087371826
46,3,True,2.351815938949585,3,True,2.351815938949585,3,True,6.604387998580933,3,True,6.604387998580933
47,3,True,2.252509355545044,3,True,2.252509355545044,3,True,7.003735303878784,3,True,7.003735303878784
48,3,True,2.4349708557128906,3,True,2.4349708557128906,4,True,8.81786298751831,4,True,8.81786298751831
49,3,True,2.1340091228485107,3,True,2.1340091228485107,3,True,5.979088068008423,3,True,5.979088068008423
50,3,True,2.6134724617004395,3,True,2.6134724617004395,4,True,7.894579887390137,4,True,7.894579887390137
51,3,True,2.1605327129364014,3,True,2.1605327129364014,4,True,8.332076787948608,4,True,8.332076787948608
52,3,True,2.1345770359039307,3,True,2.1345770359039307,3,True,6.171319007873535,3,True,6.171319007873535
53,3,True,2.109499931335449,3,True,2.109499931335449,4,True,8.45984959602356,4,True,8.45984959602356
54,3,True,2.1386358737945557,3,True,2.1386358737945557,4,True,8.421679258346558,4,True,8.421679258346558
55,3,True,2.3680830001831055,3,True,2.3680830001831055,4,True,7.685925006866455,4,True,7.685925006866455
56,3,True,2.422451972961426,3,True,2.422451972961426,4,True,8.72527813911438,4,True,8.72527813911438
57,3,True,2.2250730991363525,3,True,2.2250730991363525,3,True,6.688806056976318,3,True,6.688806056976318
58,3,True,2.1166090965270996,3,True,2.1166090965270996,3,True,6.8433918952941895,3,True,6.8433918952941895
59,3,True,2.260446071624756,3,True,2.260446071624756,4,True,8.802319526672363,4,True,8.802319526672363
60,3,True,2.291167974472046,3,True,2.291167974472046,3,True,6.63659930229187,3,True,6.63659930229187
61,3,True,2.128552198410034,3,True,2.128552198410034,3,True,6.441995859146118,3,True,6.441995859146118
62,3,True,2.1748361587524414,3,True,2.1748361587524414,4,True,8.27852201461792,4,True,8.27852201461792
63,3,True,2.239230155944824,3,True,2.239230155944824,4,True,8.60016417503357,4,True,8.60016417503357
64,3,True,2.7405519485473633,3,True,2.7405519485473633,3,True,6.62251615524292,3,True,6.62251615524292
65,4,True,3.02531099319458,4,True,3.02531099319458,3,True,6.425241470336914,3,True,6.425241470336914
66,3,True,2.2533204555511475,3,True,2.2533204555511475,4,True,8.841379165649414,4,True,8.841379165649414
67,3,True,2.243718147277832,3,True,2.243718147277832,4,True,8.494228839874268,4,True,8.494228839874268
68,3,True,2.236776113510132,3,True,2.236776113510132,3,True,6.932388544082642,3,True,6.932388544082642
69,3,True,2.2546019554138184,3,True,2.2546019554138184,3,True,6.948864698410034,3,True,6.948864698410034
70,3,True,2.518101453781128,3,True,2.518101453781128,3,True,6.59506630897522,3,True,6.59506630897522
71,3,True,2.576854944229126,3,True,2.576854944229126,4,True,8.79441523551941,4,True,8.79441523551941
72,3,True,2.3235912322998047,3,True,2.3235912322998047,4,True,9.36574387550354,4,True,9.36574387550354
73,3,True,2.175410509109497,3,True,2.175410509109497,4,True,8.654611110687256,4,True,8.654611110687256
74,3,True,2.360787868499756,3,True,2.360787868499756,4,True,9.030094385147095,4,True,9.030094385147095
75,3,True,2.461313486099243,3,True,2.461313486099243,3,True,6.569452285766602,3,True,6.569452285766602
76,3,True,2.2715542316436768,3,True,2.2715542316436768,4,True,8.549858808517456,4,True,8.549858808517456
77,3,True,2.32979679107666,3,True,2.32979679107666,3,True,5.451657056808472,3,True,5.451657056808472
78,3,True,2.1926443576812744,3,True,2.1926443576812744,4,True,7.819164514541626,4,True,7.819164514541626
79,3,True,2.126875400543213,3,True,2.126875400543213,4,True,8.454389810562134,4,True,8.454389810562134
