,i_y1,s_y1,r_y1,i_y2,s_y2,r_y2,i_z1,s_z1,r_z1,i_z2,s_z2,r_z2
0,7,True,2.945063352584839,7,True,2.945063352584839,6.0,True,3.4230940341949463,6.0,True,3.4230940341949463
1,7,True,1.8758955001831055,10,True,2.58247971534729,5.0,True,2.704545021057129,5.0,True,2.704545021057129
2,5,True,1.4376487731933594,7,True,2.0342578887939453,6.0,True,3.1778602600097656,,False,
3,5,True,1.597846269607544,8,True,2.582183837890625,,False,,,False,
4,5,True,1.3830363750457764,7,True,1.9373934268951416,6.0,True,3.140395164489746,6.0,True,3.140395164489746
5,5,True,1.2173254489898682,6,True,1.446805715560913,9.0,True,5.091979265213013,,False,
6,5,True,1.2192888259887695,5,True,1.2192888259887695,,False,,,False,
7,5,True,1.1731863021850586,5,True,1.1731863021850586,,False,,,False,
8,6,True,1.5840082168579102,6,True,1.5840082168579102,,False,,,False,
9,5,True,1.152850866317749,6,True,1.374992847442627,6.0,True,3.1935958862304688,7.0,True,3.887176752090454
10,6,True,1.5542776584625244,6,True,1.5542776584625244,6.0,True,3.4516754150390625,,False,
11,5,True,1.2260046005249023,6,True,1.4500486850738525,,False,,,False,
12,5,True,1.7818100452423096,7,True,2.5280280113220215,5.0,True,2.9878294467926025,5.0,True,2.9878294467926025
13,6,True,2.0267579555511475,6,True,2.0267579555511475,6.0,True,3.4987633228302,6.0,True,3.4987633228302
14,10,True,4.59481954574585,11,True,5.040095329284668,6.0,True,3.3892109394073486,6.0,True,3.3892109394073486
15,7,True,1.6570775508880615,7,True,1.6570775508880615,6.0,True,3.3231558799743652,7.0,True,3.9751038551330566
16,11,True,3.326643466949463,12,True,3.586956739425659,8.0,True,4.6198835372924805,8.0,True,4.6198835372924805
17,7,True,1.6816668510437012,8,True,1.9020309448242188,8.0,True,4.49160099029541,9.0,True,5.084879159927368
18,7,True,1.830369234085083,9,True,2.3555805683135986,11.0,True,6.364367485046387,11.0,True,6.364367485046387
19,5,True,1.6812846660614014,9,True,3.0779454708099365,8.0,True,4.703278064727783,,False,
20,6,True,1.5803990364074707,7,True,1.839216947555542,,False,,,False,
21,8,True,2.2138726711273193,10,True,2.819028854370117,5.0,True,2.7912511825561523,5.0,True,2.7912511825561523
22,5,True,1.6223621368408203,6,True,1.9400932788848877,5.0,True,2.979823589324951,5.0,True,2.979823589324951
23,5,True,1.5953726768493652,8,True,2.785234212875366,,False,,,False,
24,6,True,1.4036316871643066,7,True,1.6341326236724854,6.0,True,3.4456827640533447,6.0,True,3.4456827640533447
25,6,True,1.812577724456787,7,True,2.104862928390503,5.0,True,2.8499293327331543,5.0,True,2.8499293327331543
26,5,True,1.7558069229125977,6,True,2.0943210124969482,6.0,True,3.272151470184326,6.0,True,3.272151470184326
27,6,True,2.1053202152252197,7,True,2.4806764125823975,,False,,,False,
28,5,True,1.1989645957946777,8,True,1.8806264400482178,7.0,True,4.049879550933838,,False,
29,7,True,2.4597880840301514,9,True,3.1484081745147705,5.0,True,2.695749282836914,6.0,True,3.426548957824707
30,5,True,1.3884153366088867,6,True,1.6583402156829834,8.0,True,4.327190160751343,9.0,True,5.078947067260742
31,5,True,1.4533655643463135,6,True,1.7250885963439941,6.0,True,3.367638349533081,7.0,True,4.083098649978638
32,8,True,2.2242531776428223,9,True,2.4903810024261475,5.0,True,2.6135828495025635,5.0,True,2.6135828495025635
33,5,True,1.1696624755859375,8,True,1.9774553775787354,8.0,True,4.368176698684692,8.0,True,4.368176698684692
34,6,True,1.4845995903015137,8,True,1.954559564590454,6.0,True,3.219592332839966,6.0,True,3.219592332839966
35,5,True,1.1656265258789062,7,True,1.630338430404663,5.0,True,3.0995516777038574,,False,
36,7,True,2.784261703491211,9,True,3.581798791885376,,False,,,False,
37,5,True,1.8324294090270996,6,True,2.192505121231079,,False,,,False,
38,5,True,1.1939783096313477,6,True,1.4441871643066406,7.0,True,3.880826711654663,7.0,True,3.880826711654663
39,6,True,2.349332332611084,6,True,2.349332332611084,8.0,True,4.541871547698975,8.0,True,4.541871547698975
40,5,True,2.120220899581909,8,True,3.409745931625366,,False,,,False,
41,6,True,1.3685274124145508,8,True,1.8335297107696533,8.0,True,4.747048616409302,8.0,True,4.747048616409302
42,6,True,1.4454395771026611,6,True,1.4454395771026611,6.0,True,3.281520366668701,6.0,True,3.281520366668701
43,6,True,1.3986332416534424,7,True,1.6180551052093506,5.0,True,2.6547563076019287,5.0,True,2.6547563076019287
44,6,True,1.427837610244751,9,True,2.286421537399292,6.0,True,3.3982388973236084,6.0,True,3.3982388973236084
45,10,True,2.3372740745544434,10,True,2.3372740745544434,,False,,,False,
46,6,True,1.4410226345062256,7,True,1.6997275352478027,,False,,,False,
47,5,True,1.6239814758300781,6,True,1.9402074813842773,7.0,True,4.2790422439575195,7.0,True,4.2790422439575195
48,7,True,1.6788418292999268,8,True,1.9042699337005615,5.0,True,2.763857841491699,5.0,True,2.763857841491699
49,6,True,1.5624768733978271,8,True,2.094658851623535,8.0,True,4.194016695022583,,False,
50,6,True,1.9753739833831787,6,True,1.9753739833831787,,False,,,False,
51,6,True,1.5510210990905762,8,True,2.035262107849121,,False,,,False,
52,6,True,2.103776454925537,7,True,2.517282485961914,7.0,True,4.10115909576416,7.0,True,4.10115909576416
