,size,iteration_GFW_a1,iteration_GFW_a1-std,iteration_GFW_e,iteration_GFW_e-std,iteration_EPM_a1,iteration_EPM_a1-std,iteration_EPM_e,iteration_EPM_e-std,iteration_COMB_a1,iteration_COMB_a1-std,iteration_COMB_e,iteration_COMB_e-std,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,solved_COMB_a1,solved_COMB_e,runningtime_GFW_a1,runningtime_GFW_a1-std,runningtime_GFW_e,runningtime_GFW_e-std,runningtime_EPM_a1,runningtime_EPM_a1-std,runningtime_EPM_e,runningtime_EPM_e-std,runningtime_COMB_a1,runningtime_COMB_a1-std,runningtime_COMB_e,runningtime_COMB_e-std
0,5x5,2.6,0.6992058987801003,2.6,0.6992058987801003,2.4,1.1737877907772676,2.4,1.1737877907772676,4.7,1.3374935098492584,4.7,1.3374935098492584,10,10,10,10,10,10,0.005209970474243164,0.005971282221102897,0.005209970474243164,0.005971282221102897,0.006876587867736816,0.002759634071167927,0.006876587867736816,0.002759634071167927,0.006516814231872559,0.0015328689342453856,0.006516814231872559,0.0015328689342453856
1,10x10,3.4,0.8432740427115681,3.4,0.8432740427115681,3.3,0.8232726023485651,3.3,0.8232726023485651,13.5,2.798809270624444,14.3,2.4517567397911035,10,10,10,10,10,10,0.006968975067138672,0.006461153167241899,0.006968975067138672,0.006461153167241899,0.009856510162353515,0.003452957323575077,0.009856510162353515,0.003452957323575077,0.0457291841506958,0.012761730679191317,0.0481684684753418,0.011452057923467566
2,15x15,3.9,0.9944289260117535,4.1,1.100504934614612,3.9,1.370320319406298,3.9,1.370320319406298,24.3,2.7507574714370233,24.3,2.7507574714370233,10,10,10,10,10,10,0.009368348121643066,0.01236100913948885,0.009532332420349121,0.012304030089288773,0.012090039253234864,0.003900137411669637,0.012090039253234864,0.003900137411669637,0.15045537948608398,0.0248813622477392,0.15045537948608398,0.0248813622477392
3,20x20,5.4,1.5055453054181611,5.7,1.702938636592639,4.7,1.70293863659264,4.7,1.70293863659264,35.3,6.89685918854856,36.4,7.275529763071091,10,10,10,10,10,10,0.010907173156738281,0.005690996365723531,0.011313199996948242,0.005767916164733798,0.022202229499816893,0.00726986896393019,0.022202229499816893,0.00726986896393019,0.39472506046295164,0.06721734835578196,0.40851316452026365,0.0733648767114651
4,25x25,5.444444444444445,1.8782379449307745,5.666666666666667,1.9364916731037085,4.333333333333333,1.0,4.333333333333333,1.0,47.7,8.433399209228867,48.7,8.327331171776722,10,10,9,9,10,10,0.011764023039076064,0.003052381531031005,0.01213693618774414,0.0035599158451777705,0.035007317860921226,0.028427212243493864,0.035007317860921226,0.028427212243493864,0.806181001663208,0.1665567249843007,0.8254185199737549,0.16502459707866465
5,30x30,5.5,1.4337208778404378,6.5,1.5811388300841898,4.7,1.4181364924121764,4.7,1.4181364924121764,62.1,15.765292399586016,63.5,16.721576214912012,10,10,10,10,10,10,0.01640744209289551,0.002665474138626596,0.018459558486938477,0.0036319144149460146,0.037924671173095705,0.010091277836304093,0.037924671173095705,0.010091277836304093,1.8072435140609742,0.4464326770053087,1.8593972682952882,0.47842745651066343
6,35x35,5.1,1.1972189997378664,5.5,1.2692955176439846,5.4,0.9660917830792946,5.5,0.97182531580755,71.6,14.369721252998927,74.0,15.297058540778355,10,10,10,10,10,10,0.023590517044067384,0.004394908621801127,0.024682068824768068,0.005248469958990016,0.0549091100692749,0.01045551014074486,0.05592591762542724,0.010422794448115787,2.7424428462982178,0.5857978954382314,2.8736473321914673,0.6526756458602805
7,40x40,5.1,1.2866839377079204,7.3,2.3593784492248524,6.3,2.0027758514399743,6.5,2.1213203435596424,89.5,12.447668233225228,91.0,11.460075625114056,10,10,10,10,10,10,0.024321556091308594,0.0033819385892689046,0.029830527305603028,0.0058443121091287485,0.07894401550292969,0.023224349679385112,0.08146791458129883,0.024433674716833623,4.597493267059326,0.9459995340225514,4.7491354703903195,0.9199085796498456
8,45x45,7.2,1.8737959096740269,7.777777777777778,1.6414763002993502,5.4,2.0110804171997803,5.222222222222222,2.0480342879074174,105.9,15.566702355419453,108.5,14.554495296413865,10,10,10,9,10,10,0.037450551986694336,0.007091145988789926,0.039396550920274526,0.0075525966845232965,0.10038611888885499,0.0662920773157714,0.09976779090033637,0.07028277347476161,7.814881014823913,1.9525225693332706,8.088423252105713,1.811582374325273
9,50x50,7.7,3.1287200080686177,8.4,3.0258148581093907,6.2,1.7511900715418252,6.7,2.5407785333546,111.5,12.929294902146314,113.9,12.041133206176578,10,10,10,10,10,10,0.052533292770385744,0.023370632061491477,0.05538029670715332,0.02383137314748494,0.11793103218078613,0.03333955644970374,0.13268778324127198,0.05362714454786112,10.12193067073822,1.353914800968224,10.505678534507751,1.4154472365258495
