,size,iteration_GFW_a1,iteration_GFW_a1-std,iteration_GFW_e,iteration_GFW_e-std,iteration_EPM_a1,iteration_EPM_a1-std,iteration_EPM_e,iteration_EPM_e-std,iteration_COMB_a1,iteration_COMB_a1-std,iteration_COMB_e,iteration_COMB_e-std,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,solved_COMB_a1,solved_COMB_e,runningtime_GFW_a1,runningtime_GFW_a1-std,runningtime_GFW_e,runningtime_GFW_e-std,runningtime_EPM_a1,runningtime_EPM_a1-std,runningtime_EPM_e,runningtime_EPM_e-std,runningtime_COMB_a1,runningtime_COMB_a1-std,runningtime_COMB_e,runningtime_COMB_e-std
0,5x5,2.6,0.9660917830792954,2.6,0.9660917830792954,1.9,1.1972189997378646,1.9,1.1972189997378646,3.3,1.0593499054713806,3.4,1.1737877907772676,10,10,10,10,10,10,0.0031687021255493164,0.0007068706547884181,0.0031687021255493164,0.0007068706547884181,0.0040883302688598635,0.0013036331506315665,0.0040883302688598635,0.0013036331506315665,0.004041051864624024,0.0013699336868798827,0.0041620731353759766,0.001474697373846165
1,10x10,3.0,0.6666666666666666,3.0,0.6666666666666666,2.9,0.9944289260117535,2.9,0.9944289260117535,7.111111111111111,2.315407331574968,7.222222222222222,2.3863035105460586,10,10,10,10,9,9,0.005038666725158692,0.0015714081674013888,0.005038666725158692,0.0015714081674013888,0.007689952850341797,0.0020868611119901183,0.007689952850341797,0.0020868611119901183,0.021442333857218426,0.007138663345312753,0.021768040127224393,0.00733342336392935
2,15x15,3.4,1.264911064067352,3.4,1.264911064067352,2.4,0.6992058987801015,2.4,0.6992058987801015,6.5,2.273030282830976,6.5,2.273030282830976,10,10,10,10,10,10,0.005757808685302734,0.0022249436436489146,0.005757808685302734,0.0022249436436489146,0.008493304252624512,0.0025708703188583536,0.008493304252624512,0.0025708703188583536,0.04155271053314209,0.014485109665707452,0.04155271053314209,0.014485109665707452
3,20x20,4.2,1.2292725943057181,4.2,1.2292725943057181,4.1,1.2866839377079191,4.1,1.2866839377079191,11.1,7.694875639743057,11.1,7.694875639743057,10,10,10,10,10,10,0.007296442985534668,0.0014468806192575983,0.007296442985534668,0.0014468806192575983,0.017859768867492676,0.0050439130418927485,0.017859768867492676,0.0050439130418927485,0.1257953643798828,0.08834731281428274,0.1257953643798828,0.08834731281428274
4,25x25,2.7,1.05934990547138,2.7,1.05934990547138,2.8,1.3165611772087669,2.8,1.3165611772087669,4.555555555555555,4.034572812303401,4.555555555555555,4.034572812303401,10,10,10,10,9,9,0.007941341400146485,0.001339477978278895,0.007941341400146485,0.001339477978278895,0.019263410568237306,0.007402606460504151,0.019263410568237306,0.007402606460504151,0.08790818850199382,0.08597241650899533,0.08790818850199382,0.08597241650899533
5,30x30,3.0,0.9428090415820634,3.0,0.9428090415820634,2.4,0.8432740427115681,2.4,0.8432740427115681,3.8,4.147288270665544,3.8,4.147288270665544,10,10,10,10,5,5,0.012233710289001465,0.003918054915190365,0.012233710289001465,0.003918054915190365,0.022818946838378908,0.008497862916275979,0.022818946838378908,0.008497862916275979,0.10270895957946777,0.11406352377184428,0.10270895957946777,0.11406352377184428
6,35x35,2.3,0.8232726023485647,2.3,0.8232726023485647,2.3,0.6749485577105531,2.3,0.6749485577105531,1.7142857142857142,1.889822365046136,1.8571428571428572,1.9518001458970664,10,10,10,10,7,7,0.012559962272644044,0.0035374496596890658,0.012559962272644044,0.0035374496596890658,0.02426416873931885,0.006913785124325555,0.02426416873931885,0.006913785124325555,0.05771269117082868,0.06072292357857909,0.062078237533569336,0.06315269886198492
7,40x40,2.3,0.4830458915396481,2.3,0.4830458915396481,1.6,0.5163977794943221,1.6,0.5163977794943221,0.625,0.9161253813129043,0.625,0.9161253813129043,10,10,10,10,8,8,0.014401674270629883,0.0011645872270178489,0.014401674270629883,0.0011645872270178489,0.0214893102645874,0.005650211610656861,0.0214893102645874,0.005650211610656861,0.021819353103637695,0.03236129460520223,0.021819353103637695,0.03236129460520223
8,45x45,2.4,1.07496769977314,2.4,1.07496769977314,1.6,0.8432740427115677,1.6,0.8432740427115677,0.5,0.8498365855987975,0.7,1.2516655570345725,10,10,10,10,10,10,0.01884438991546631,0.003903136918867527,0.01884438991546631,0.003903136918867527,0.02648775577545166,0.012933353770429442,0.02648775577545166,0.012933353770429442,0.023843884468078613,0.040010805754209615,0.03553528785705566,0.06334889332014713
9,50x50,2.2,0.7888106377466151,2.2,0.7888106377466151,1.2,0.42163702135578407,1.2,0.42163702135578407,0.3,0.6749485577105528,0.3,0.6749485577105528,10,10,10,10,10,10,0.022854948043823244,0.003345259924441852,0.022854948043823244,0.003345259924441852,0.025152039527893067,0.0057702384469631406,0.025152039527893067,0.0057702384469631406,0.016977357864379882,0.03855796805516586,0.016977357864379882,0.03855796805516586
