,size,iteration_GFW_a1,iteration_GFW_a1-std,iteration_GFW_e,iteration_GFW_e-std,iteration_EPM_a1,iteration_EPM_a1-std,iteration_EPM_e,iteration_EPM_e-std,iteration_COMB_a1,iteration_COMB_a1-std,iteration_COMB_e,iteration_COMB_e-std,solved_GFW_a1,solved_GFW_e,solved_EPM_a1,solved_EPM_e,solved_COMB_a1,solved_COMB_e,runningtime_GFW_a1,runningtime_GFW_a1-std,runningtime_GFW_e,runningtime_GFW_e-std,runningtime_EPM_a1,runningtime_EPM_a1-std,runningtime_EPM_e,runningtime_EPM_e-std,runningtime_COMB_a1,runningtime_COMB_a1-std,runningtime_COMB_e,runningtime_COMB_e-std
0,5x5,2.9,0.7378647873726223,2.9,0.7378647873726223,1.7,0.4830458915396481,1.7,0.4830458915396481,3.7,0.8232726023485643,3.7,0.8232726023485643,10,10,10,10,10,10,0.0032050609588623047,0.0008618215725332345,0.0032050609588623047,0.0008618215725332345,0.0032480239868164064,0.0005315484079079714,0.0032480239868164064,0.0005315484079079714,0.004642176628112793,0.00098079882975472,0.004642176628112793,0.00098079882975472
1,10x10,5.1,2.6853512081497115,5.2,2.616188916046477,2.8,0.7888106377466161,2.8,0.7888106377466161,11.2,2.7808871486152307,11.6,2.716206504995117,10,10,10,10,10,10,0.006412935256958008,0.0031656906454829038,0.006530332565307617,0.0031386773474818357,0.0073870658874511715,0.0024599539173770237,0.0073870658874511715,0.0024599539173770237,0.03271641731262207,0.007650848610042609,0.033907747268676756,0.007738944361525895
2,15x15,5.2,1.316561177208765,5.3,1.2516655570345734,4.4,1.7763883459298964,4.4,1.7763883459298964,21.9,4.0124805295477834,22.6,3.5962943891363084,10,10,10,10,10,10,0.006567311286926269,0.001500937969894764,0.006670832633972168,0.0014203475008124071,0.01319448947906494,0.0049817951593562415,0.01319448947906494,0.0049817951593562415,0.13536512851715088,0.02756626235540957,0.1399817705154419,0.024086189940461564
3,20x20,5.9,2.0789954839350226,6.1,1.9119507199599992,4.5,1.2692955176439846,4.5,1.2692955176439846,33.0,4.396968652757639,33.9,4.653553003410997,10,10,10,10,10,10,0.011067509651184082,0.004594342098387762,0.011356401443481445,0.004438226750272993,0.021537399291992186,0.007896648002806848,0.021537399291992186,0.007896648002806848,0.3865041971206665,0.07578956990416792,0.3976432323455811,0.07773215215997263
4,25x25,7.1,2.0248456731316598,7.3,1.8287822299126943,5.8,2.658320271650252,5.8,2.658320271650252,54.2,16.102449779114007,54.6,16.091405573576633,10,10,10,10,10,10,0.013837862014770507,0.002638143168826046,0.014126467704772949,0.002514155372834637,0.05971829891204834,0.0802497655351777,0.05971829891204834,0.0802497655351777,0.9402124166488648,0.2716577440384939,0.9494837284088135,0.27113038217482294
5,30x30,6.8,3.0110906108363245,7.1,2.884826203122508,5.8,1.8135294011647265,6.0,1.9436506316151,62.5,18.118437509282575,64.7,17.839095642249728,10,10,10,10,10,10,0.019325995445251466,0.0056897787312559294,0.019817185401916505,0.005539839499548163,0.04527997970581055,0.01351485396962886,0.046890091896057126,0.015222339799297145,1.8450619220733642,0.5466525317577718,1.9213886499404906,0.5311128652905082
6,35x35,6.5,2.173067468400883,7.0,2.4037008503093262,5.9,1.9119507199599977,6.2,1.9888578520235054,84.7,13.532265967760951,85.8,13.331666562487001,10,10,10,10,10,10,0.025878095626831056,0.007341345418890743,0.027091550827026366,0.007854563247242721,0.08817830085754394,0.09283681885500802,0.09235751628875732,0.09184308473178635,3.399805688858032,0.5145776164142157,3.447482371330261,0.5338755106653722
7,40x40,7.7,1.2516655570345734,8.1,1.3703203194062967,7.5,2.9533408577782247,7.5,2.9533408577782247,103.1,28.10476432524882,105.6,29.874552530354155,10,10,10,10,10,10,0.0450476884841919,0.023480660090290387,0.04632108211517334,0.02295030613005076,0.10984632968902588,0.06685010675085437,0.10984632968902588,0.06685010675085437,5.490039801597595,1.2997099136187384,5.650321221351623,1.3741177778436853
8,45x45,7.555555555555555,2.1278575558006194,8.444444444444445,3.711842908553347,8.333333333333334,2.8722813232690143,8.333333333333334,2.8722813232690143,123.4,19.068298298484827,125.2,18.87267277779643,10,10,9,9,10,10,0.03822986284891764,0.007837442771831904,0.040700303183661565,0.011712889745750786,0.16477290789286295,0.1000638226014355,0.16477290789286295,0.1000638226014355,8.255043864250183,1.5670661979591145,8.420272183418273,1.5111763031182934
9,50x50,8.5,2.449489742783178,10.125,3.044315545875155,9.125,5.488624600025037,10.25,7.00510018282598,120.0,23.40465290872261,121.6,24.07488317728664,10,10,8,8,10,10,0.051188647747039795,0.0110927276274488,0.057034075260162354,0.015227215079838376,0.2171097993850708,0.18526469008073188,0.24441540241241455,0.24378449843757502,10.37826316356659,2.376427345633866,10.740544390678405,2.395646250684078
