,size,utilitarian_GFW_e,egalitarian_GFW_e,nash_GFW_e,utilitarian_EPM_e,egalitarian_EPM_e,nash_EPM_e,utilitarian_COMB_e,egalitarian_COMB_e,nash_COMB_e,distant_prices
0,5x5,1307.9978930942907,387.00579374956544,1217697857486.7312,1312.6173788838,361.89149650051746,1461110872779.8657,1311.008030128504,368.554261272131,1437128032877.0906,1.1219346913552675
1,10x10,1626.3595005874513,288.50773493951647,3.2932293743827917e+22,1582.901377127316,271.42076435753745,3.2365692089067096e+22,1628.322264289409,303.8493015971158,3.3224652212182e+22,3.706127944176808
2,15x15,1763.7482378996574,251.4483973314491,1.6221214041473022e+30,1601.369476396379,218.65210906422425,1.2828665587816332e+30,1649.660242114032,226.88057332613684,1.1108693969747407e+30,6.630077956658252
3,20x20,1910.8042408936458,199.16912084402358,2.1815147478451483e+39,1820.902231044187,188.26266316144364,2.2883231826446788e+39,1821.2020607457434,187.97928053507064,2.1414042977642928e+39,7.380066739724467
4,25x25,1914.479647687132,193.36425334702997,4.073868975759548e+45,1879.8669676571667,183.93911020522611,3.921081437452396e+45,1941.0929206223973,201.89734720147143,4.107200829488153e+45,6.165098830601137
5,30x30,2007.8106868313305,164.97991122094408,2.6884652874820473e+52,1926.379957395126,164.8047190727113,6.043512346386897e+52,1932.5652022825539,155.8039120657323,3.797602762295542e+52,8.158701037600895
6,35x35,2055.8842622251336,152.64563807688373,1.3732108247894912e+60,2009.9378108060016,140.36456590278218,1.172138868041365e+60,2090.8188184262553,157.09019569744163,9.378909769632767e+59,9.211505968426403
7,40x40,2067.7945844740507,145.49767117342202,8.113206249077572e+65,1980.8774229760534,132.45367304638694,1.0634645532382632e+66,2071.1962333233882,136.25979921471475,9.282148978246709e+65,10.325673364657124
8,45x45,2104.189157836756,122.30400930302623,1.7902370745763454e+72,2068.2524972543342,113.96813937102303,3.1847335300027746e+72,2145.158170518698,131.18355536682736,3.2130601365531197e+72,11.955731414787694
9,50x50,2032.905733594671,115.20891549760209,1.927471900610316e+76,1936.246175957965,104.41938858577309,2.0560165407029854e+76,1996.8499479556544,119.48446633823337,1.789385426587936e+76,13.599701069211953
