,i_y1,s_y1,r_y1,i_y2,s_y2,r_y2,i_z1,s_z1,r_z1,i_z2,s_z2,r_z2
0,10,True,0.31641578674316406,10,True,0.31641578674316406,11.0,True,0.5739290714263916,,False,
1,5,True,0.1430370807647705,5,True,0.1430370807647705,8.0,True,0.37539029121398926,,False,
2,15,True,0.4264500141143799,17,True,0.4836559295654297,12.0,True,0.6372849941253662,14.0,True,0.7452340126037598
3,13,True,0.36933374404907227,13,True,0.36933374404907227,,False,,,False,
4,11,True,0.3433389663696289,12,True,0.3727889060974121,,False,,,False,
5,6,True,0.16938400268554688,7,True,0.22433209419250488,9.0,True,0.5064413547515869,9.0,True,0.5064413547515869
6,7,True,0.22643017768859863,7,True,0.22643017768859863,12.0,True,0.6959366798400879,12.0,True,0.6959366798400879
7,9,True,0.26503586769104004,9,True,0.26503586769104004,11.0,True,0.5638647079467773,16.0,True,0.8341953754425049
8,11,True,0.3148770332336426,12,True,0.34340620040893555,10.0,True,0.5153906345367432,10.0,True,0.5153906345367432
9,7,True,0.19953560829162598,7,True,0.19953560829162598,8.0,True,0.3822941780090332,,False,
10,5,True,0.1457977294921875,6,True,0.17455482482910156,8.0,True,0.37986230850219727,8.0,True,0.37986230850219727
11,8,True,0.2521038055419922,8,True,0.2521038055419922,7.0,True,0.3338959217071533,7.0,True,0.3338959217071533
12,12,True,0.3557422161102295,12,True,0.3557422161102295,5.0,True,0.2427377700805664,5.0,True,0.2427377700805664
13,7,True,0.2130720615386963,8,True,0.2430870532989502,8.0,True,0.4064958095550537,,False,
14,14,True,0.4040541648864746,14,True,0.4040541648864746,11.0,True,0.518690824508667,11.0,True,0.518690824508667
15,10,True,0.28879427909851074,10,True,0.28879427909851074,11.0,True,0.6055598258972168,11.0,True,0.6055598258972168
16,10,True,0.2975180149078369,10,True,0.2975180149078369,15.0,True,0.7503688335418701,15.0,True,0.7503688335418701
17,6,True,0.17942523956298828,6,True,0.17942523956298828,12.0,True,0.5856163501739502,12.0,True,0.5856163501739502
18,12,True,0.37453484535217285,12,True,0.37453484535217285,,False,,,False,
19,11,True,0.37793469429016113,12,True,0.4087088108062744,,False,,,False,
20,8,True,0.2530481815338135,8,True,0.2530481815338135,10.0,True,0.5231442451477051,,False,
21,8,True,0.2680668830871582,9,True,0.3024930953979492,,False,,,False,
22,17,True,0.8317999839782715,17,True,0.8317999839782715,5.0,True,0.3322629928588867,5.0,True,0.3322629928588867
23,6,True,0.1779956817626953,7,True,0.20668554306030273,9.0,True,0.48548388481140137,9.0,True,0.48548388481140137
24,9,True,0.27882885932922363,22,True,0.6929078102111816,4.0,True,0.2116711139678955,4.0,True,0.2116711139678955
25,7,True,0.20078039169311523,7,True,0.20078039169311523,7.0,True,0.36455607414245605,7.0,True,0.36455607414245605
26,12,True,0.43474817276000977,12,True,0.43474817276000977,15.0,True,0.8523194789886475,15.0,True,0.8523194789886475
27,13,True,0.4055979251861572,15,True,0.46337175369262695,8.0,True,0.4440114498138428,9.0,True,0.5003094673156738
28,5,True,0.1478426456451416,5,True,0.1478426456451416,7.0,True,0.35416364669799805,7.0,True,0.35416364669799805
29,14,True,0.429762601852417,14,True,0.429762601852417,13.0,True,0.8898167610168457,13.0,True,0.8898167610168457
30,14,True,0.5500972270965576,15,True,0.5840990543365479,13.0,True,0.7607364654541016,13.0,True,0.7607364654541016
31,7,True,0.2860603332519531,8,True,0.32097744941711426,10.0,True,0.5211987495422363,10.0,True,0.5211987495422363
32,6,True,0.19778060913085938,6,True,0.19778060913085938,9.0,True,0.5106406211853027,9.0,True,0.5106406211853027
33,13,True,0.4315307140350342,13,True,0.4315307140350342,9.0,True,0.5036735534667969,9.0,True,0.5036735534667969
34,13,True,0.39736413955688477,13,True,0.39736413955688477,6.0,True,0.29327821731567383,6.0,True,0.29327821731567383
35,9,True,0.29506778717041016,10,True,0.32436656951904297,9.0,True,0.476177453994751,9.0,True,0.476177453994751
36,5,True,0.16925358772277832,5,True,0.16925358772277832,7.0,True,0.42011117935180664,7.0,True,0.42011117935180664
37,8,True,0.36321234703063965,8,True,0.36321234703063965,7.0,True,0.39479851722717285,7.0,True,0.39479851722717285
38,6,True,0.19595074653625488,7,True,0.22499990463256836,8.0,True,0.42327141761779785,8.0,True,0.42327141761779785
39,7,True,0.24751734733581543,7,True,0.24751734733581543,8.0,True,0.43909478187561035,8.0,True,0.43909478187561035
40,17,True,0.5982224941253662,17,True,0.5982224941253662,8.0,True,0.43813514709472656,8.0,True,0.43813514709472656
41,9,True,0.2924225330352783,9,True,0.2924225330352783,14.0,True,0.9893624782562256,14.0,True,0.9893624782562256
42,10,True,0.32867980003356934,11,True,0.358900785446167,6.0,True,0.31164026260375977,6.0,True,0.31164026260375977
43,11,True,0.30782413482666016,11,True,0.30782413482666016,5.0,True,0.2892756462097168,5.0,True,0.2892756462097168
44,8,True,0.23842573165893555,8,True,0.23842573165893555,8.0,True,0.4202694892883301,8.0,True,0.4202694892883301
45,7,True,0.21523261070251465,7,True,0.21523261070251465,,False,,,False,
46,10,True,0.3058021068572998,10,True,0.3058021068572998,,False,,,False,
47,10,True,0.3041658401489258,11,True,0.33519482612609863,11.0,True,0.6040263175964355,11.0,True,0.6040263175964355
48,8,True,0.24112963676452637,9,True,0.27170467376708984,9.0,True,0.5577647686004639,9.0,True,0.5577647686004639
49,14,True,0.5311627388000488,15,True,0.5595836639404297,10.0,True,0.5356652736663818,10.0,True,0.5356652736663818
50,14,True,0.4613041877746582,15,True,0.4902963638305664,5.0,True,0.2591390609741211,5.0,True,0.2591390609741211
51,6,True,0.1875162124633789,7,True,0.21920394897460938,8.0,True,0.4341161251068115,8.0,True,0.4341161251068115
52,10,True,0.3382127285003662,10,True,0.3382127285003662,6.0,True,0.3365616798400879,6.0,True,0.3365616798400879
53,16,True,0.4730563163757324,17,True,0.5047612190246582,4.0,True,0.27170729637145996,4.0,True,0.27170729637145996
54,10,True,0.30169677734375,11,True,0.33257198333740234,9.0,True,0.4674556255340576,9.0,True,0.4674556255340576
55,11,True,0.3441472053527832,11,True,0.3441472053527832,7.0,True,0.3474907875061035,7.0,True,0.3474907875061035
56,11,True,0.31159257888793945,11,True,0.31159257888793945,10.0,True,0.5251600742340088,10.0,True,0.5251600742340088
57,8,True,0.22176146507263184,10,True,0.2776215076446533,5.0,True,0.22556591033935547,5.0,True,0.22556591033935547
58,7,True,0.20236945152282715,8,True,0.23151850700378418,9.0,True,0.451035737991333,9.0,True,0.451035737991333
59,14,True,0.40464258193969727,14,True,0.40464258193969727,7.0,True,0.3248574733734131,7.0,True,0.3248574733734131
60,11,True,0.34502744674682617,11,True,0.34502744674682617,6.0,True,0.2794349193572998,6.0,True,0.2794349193572998
61,8,True,0.23002839088439941,8,True,0.23002839088439941,8.0,True,0.4301948547363281,8.0,True,0.4301948547363281
62,12,True,0.35869264602661133,12,True,0.35869264602661133,12.0,True,0.6035923957824707,,False,
63,6,True,0.17209219932556152,6,True,0.17209219932556152,6.0,True,0.2868010997772217,6.0,True,0.2868010997772217
64,5,True,0.14587140083312988,6,True,0.17390918731689453,11.0,True,0.5503816604614258,11.0,True,0.5503816604614258
65,16,True,0.48755979537963867,16,True,0.48755979537963867,6.0,True,0.3338439464569092,6.0,True,0.3338439464569092
66,9,True,0.2638261318206787,11,True,0.31908702850341797,6.0,True,0.30712437629699707,6.0,True,0.30712437629699707
67,5,True,0.14296984672546387,5,True,0.14296984672546387,7.0,True,0.35799527168273926,7.0,True,0.35799527168273926
68,4,True,0.12382078170776367,5,True,0.1522829532623291,5.0,True,0.2478163242340088,5.0,True,0.2478163242340088
69,8,True,0.268326997756958,8,True,0.268326997756958,13.0,True,0.6377527713775635,13.0,True,0.6377527713775635
70,11,True,0.31703615188598633,12,True,0.34465813636779785,6.0,True,0.318469762802124,6.0,True,0.318469762802124
71,12,True,0.3407468795776367,12,True,0.3407468795776367,9.0,True,0.45082545280456543,9.0,True,0.45082545280456543
72,11,True,0.3461945056915283,12,True,0.374706506729126,9.0,True,0.5787522792816162,,False,
73,5,True,0.14420413970947266,7,True,0.20082306861877441,8.0,True,0.3795433044433594,8.0,True,0.3795433044433594
74,17,True,0.5743882656097412,17,True,0.5743882656097412,5.0,True,0.23853611946105957,5.0,True,0.23853611946105957
75,9,True,0.2834160327911377,10,True,0.31234216690063477,,False,,,False,
76,8,True,0.22427678108215332,8,True,0.22427678108215332,9.0,True,0.4604053497314453,9.0,True,0.4604053497314453
77,15,True,0.4849398136138916,15,True,0.4849398136138916,9.0,True,0.5335760116577148,9.0,True,0.5335760116577148
78,9,True,0.29132604598999023,12,True,0.4190490245819092,9.0,True,0.48224711418151855,9.0,True,0.48224711418151855
79,6,True,0.19185876846313477,7,True,0.22265982627868652,,False,,,False,
80,12,True,0.34743571281433105,13,True,0.37542057037353516,4.0,True,0.178757905960083,5.0,True,0.22905182838439941
81,9,True,0.2626001834869385,9,True,0.2626001834869385,7.0,True,0.34091734886169434,7.0,True,0.34091734886169434
82,6,True,0.17555689811706543,6,True,0.17555689811706543,17.0,True,0.9325876235961914,,False,
83,7,True,0.21104097366333008,7,True,0.21104097366333008,4.0,True,0.178971529006958,4.0,True,0.178971529006958
84,14,True,0.40362977981567383,16,True,0.45706987380981445,10.0,True,0.5410499572753906,11.0,True,0.6007881164550781
85,7,True,0.20444965362548828,7,True,0.20444965362548828,,False,,,False,
86,8,True,0.2295238971710205,8,True,0.2295238971710205,6.0,True,0.2922484874725342,6.0,True,0.2922484874725342
87,8,True,0.23317670822143555,8,True,0.23317670822143555,7.0,True,0.3418691158294678,7.0,True,0.3418691158294678
88,8,True,0.2276017665863037,9,True,0.2549717426300049,15.0,True,0.7943270206451416,,False,
89,11,True,0.43358492851257324,12,True,0.48079609870910645,14.0,True,0.7089762687683105,14.0,True,0.7089762687683105
90,10,True,0.31881237030029297,11,True,0.3497893810272217,12.0,True,0.6319935321807861,14.0,True,0.7396106719970703
91,5,True,0.14848613739013672,6,True,0.17664623260498047,,False,,,False,
92,13,True,0.3604896068572998,13,True,0.3604896068572998,8.0,True,0.39408254623413086,8.0,True,0.39408254623413086
93,7,True,0.24771785736083984,7,True,0.24771785736083984,7.0,True,0.37437963485717773,7.0,True,0.37437963485717773
94,15,True,0.4531407356262207,16,True,0.48291969299316406,9.0,True,0.49825215339660645,,False,
95,14,True,0.4210371971130371,14,True,0.4210371971130371,13.0,True,0.6603274345397949,13.0,True,0.6603274345397949
96,10,True,0.3095383644104004,10,True,0.3095383644104004,5.0,True,0.24644708633422852,5.0,True,0.24644708633422852
97,15,True,0.5556490421295166,16,True,0.5854120254516602,6.0,True,0.29982566833496094,6.0,True,0.29982566833496094
98,13,True,0.3761160373687744,13,True,0.3761160373687744,7.0,True,0.3323783874511719,7.0,True,0.3323783874511719
99,15,True,0.4742624759674072,15,True,0.4742624759674072,4.0,True,0.18912315368652344,4.0,True,0.18912315368652344
