,i_y1,s_y1,r_y1,i_y2,s_y2,r_y2,i_z1,s_z1,r_z1,i_z2,s_z2,r_z2
0,18,True,1.8710877895355225,18,True,1.8710877895355225,15.0,True,4.433800220489502,15.0,True,4.433800220489502
1,7,True,0.6419820785522461,8,True,0.7318041324615479,10.0,True,2.6025731563568115,12.0,True,3.1288001537323
2,12,True,1.0694866180419922,14,True,1.2592053413391113,14.0,True,3.595945358276367,,False,
3,11,True,1.067216157913208,12,True,1.1609101295471191,9.0,True,2.027374744415283,9.0,True,2.027374744415283
4,10,True,0.8860766887664795,10,True,0.8860766887664795,8.0,True,1.8334946632385254,8.0,True,1.8334946632385254
5,10,True,0.885765790939331,10,True,0.885765790939331,18.0,True,4.502657890319824,,False,
6,12,True,1.0842657089233398,21,True,1.9229238033294678,17.0,True,4.120503664016724,,False,
7,26,True,2.416889190673828,26,True,2.416889190673828,8.0,True,1.7430682182312012,10.0,True,2.290607452392578
8,12,True,1.197824239730835,14,True,1.418816089630127,13.0,True,3.1501641273498535,14.0,True,3.4148402214050293
9,8,True,0.7132251262664795,9,True,0.7998669147491455,8.0,True,1.8472394943237305,8.0,True,1.8472394943237305
10,10,True,0.9147915840148926,11,True,1.000720739364624,9.0,True,2.0937883853912354,10.0,True,2.359508514404297
11,6,True,0.5263795852661133,6,True,0.5263795852661133,12.0,True,2.9603912830352783,12.0,True,2.9603912830352783
12,11,True,1.2229042053222656,14,True,1.5013272762298584,12.0,True,2.7614965438842773,12.0,True,2.7614965438842773
13,13,True,1.2638163566589355,14,True,1.354844331741333,10.0,True,2.4437685012817383,10.0,True,2.4437685012817383
14,7,True,0.647763729095459,7,True,0.647763729095459,11.0,True,2.5075392723083496,13.0,True,3.0632894039154053
15,12,True,1.334362268447876,12,True,1.334362268447876,26.0,True,6.639691591262817,26.0,True,6.639691591262817
16,12,True,1.049424171447754,13,True,1.1377713680267334,12.0,True,2.744874954223633,12.0,True,2.744874954223633
17,12,True,1.0997035503387451,13,True,1.211235523223877,10.0,True,2.422337293624878,10.0,True,2.422337293624878
18,11,True,1.1090524196624756,11,True,1.1090524196624756,15.0,True,3.590421438217163,16.0,True,3.8605904579162598
19,9,True,0.9746866226196289,9,True,0.9746866226196289,6.0,True,1.3093900680541992,,False,
20,24,True,2.224893808364868,25,True,2.3150076866149902,8.0,True,1.889890193939209,,False,
