,i_y1,s_y1,r_y1,i_y2,s_y2,r_y2,i_z1,s_z1,r_z1,i_z2,s_z2,r_z2
0,10,True,9.893001079559326,10,True,9.893001079559326,24.0,True,62.70719361305237,,False,
1,18,True,18.801884412765503,18,True,18.801884412765503,28.0,True,71.37820148468018,,False,
2,20,True,21.369783878326416,22,True,23.772604942321777,,False,,,False,
3,26,True,20.888737201690674,36,True,29.38669776916504,19.0,True,50.606295347213745,,False,
4,12,True,9.818801641464233,23,True,18.741840839385986,15.0,True,37.34409809112549,,False,
5,14,True,12.257862567901611,19,True,16.606627225875854,,False,,,False,
6,21,True,19.346561193466187,21,True,19.346561193466187,15.0,True,35.96347999572754,,False,
7,33,True,31.885775089263916,37,True,35.588300943374634,13.0,True,33.12820363044739,,False,
8,13,True,12.309451580047607,16,True,15.12845754623413,,False,,,False,
9,29,True,27.188388109207153,29,True,27.188388109207153,16.0,True,42.534597635269165,,False,
10,18,True,16.64739155769348,48,True,45.06671452522278,16.0,True,36.316389322280884,,False,
11,13,True,12.747817754745483,19,True,18.780824184417725,14.0,True,35.08147597312927,,False,
12,16,True,15.084003448486328,22,True,20.791836500167847,20.0,True,46.727925539016724,,False,
13,25,True,21.590978145599365,26,True,22.4170663356781,27.0,True,68.5809965133667,,False,
14,14,True,14.209550142288208,21,True,21.758673667907715,15.0,True,39.326210737228394,,False,
15,18,True,16.737669467926025,19,True,17.6302592754364,14.0,True,38.43060755729675,,False,
16,12,True,11.857134580612183,16,True,15.613955736160278,15.0,True,35.22603106498718,,False,
17,28,True,27.625813722610474,37,True,36.47249746322632,15.0,True,39.673397064208984,,False,
18,14,True,11.799425601959229,17,True,14.430795431137085,13.0,True,33.38953924179077,,False,
19,20,True,20.285681009292603,22,True,22.557689428329468,20.0,True,51.89832544326782,,False,
20,31,True,28.71181035041809,34,True,31.33537244796753,16.0,True,43.390953063964844,,False,
21,17,True,15.955487489700317,39,True,37.76324510574341,11.0,True,28.050114631652832,,False,
22,18,True,15.4968900680542,19,True,16.295664072036743,12.0,True,34.664230823516846,,False,
23,14,True,12.652428150177002,22,True,21.12701654434204,24.0,True,62.44629454612732,,False,
24,31,True,28.295594692230225,36,True,32.86656951904297,,False,,,False,
25,16,True,12.536462783813477,30,True,23.882206201553345,,False,,,False,
26,19,True,16.241175889968872,21,True,17.958171129226685,22.0,True,53.40910744667053,,False,
27,21,True,15.867664575576782,24,True,18.162190675735474,12.0,True,29.143155336380005,,False,
28,15,True,14.230911254882812,17,True,16.103304624557495,17.0,True,39.11471939086914,,False,
29,10,True,8.900357723236084,11,True,9.770485877990723,,False,,,False,
30,16,True,14.91426944732666,18,True,16.786561727523804,21.0,True,49.54953455924988,,False,
31,21,True,19.893059253692627,23,True,21.793559074401855,37.0,True,86.68879318237305,,False,
32,18,True,14.574146747589111,36,True,29.591931104660034,,False,,,False,
33,13,True,12.243594408035278,21,True,19.967007160186768,13.0,True,28.061755895614624,,False,
