,i_y1,s_y1,r_y1,i_y2,s_y2,r_y2,i_z1,s_z1,r_z1,i_z2,s_z2,r_z2
0,12,True,0.37534046173095703,12,True,0.37534046173095703,10.0,True,0.9194049835205078,10.0,True,0.9194049835205078
1,5,True,0.16359257698059082,5,True,0.16359257698059082,7.0,True,0.3677530288696289,7.0,True,0.3677530288696289
2,16,True,0.7821414470672607,17,True,0.8181774616241455,6.0,True,0.30516910552978516,6.0,True,0.30516910552978516
3,10,True,0.31461119651794434,11,True,0.3441493511199951,7.0,True,0.36090970039367676,7.0,True,0.36090970039367676
4,9,True,0.29267239570617676,9,True,0.29267239570617676,6.0,True,0.2959773540496826,6.0,True,0.2959773540496826
5,11,True,0.31891584396362305,12,True,0.3480415344238281,8.0,True,0.3888106346130371,10.0,True,0.4890167713165283
6,6,True,0.17931199073791504,7,True,0.20951604843139648,6.0,True,0.278439998626709,6.0,True,0.278439998626709
7,11,True,0.35150694847106934,11,True,0.35150694847106934,13.0,True,0.8100037574768066,,False,
8,7,True,0.21168160438537598,8,True,0.23987364768981934,7.0,True,0.40245485305786133,7.0,True,0.40245485305786133
9,6,True,0.17916059494018555,6,True,0.17916059494018555,6.0,True,0.43289899826049805,9.0,True,0.5939555168151855
10,6,True,0.18631887435913086,6,True,0.18631887435913086,6.0,True,0.30695319175720215,6.0,True,0.30695319175720215
11,12,True,0.38034653663635254,12,True,0.38034653663635254,6.0,True,0.32207417488098145,,False,
12,4,True,0.13483977317810059,5,True,0.17117977142333984,8.0,True,0.3898489475250244,8.0,True,0.3898489475250244
13,5,True,0.19810223579406738,7,True,0.29307126998901367,6.0,True,0.39798593521118164,6.0,True,0.39798593521118164
14,10,True,0.3475220203399658,10,True,0.3475220203399658,15.0,True,0.7409148216247559,15.0,True,0.7409148216247559
15,9,True,0.2776179313659668,9,True,0.2776179313659668,12.0,True,0.6655862331390381,12.0,True,0.6655862331390381
16,5,True,0.15832209587097168,5,True,0.15832209587097168,6.0,True,0.29145169258117676,6.0,True,0.29145169258117676
17,6,True,0.20473194122314453,6,True,0.20473194122314453,,False,,,False,
18,7,True,0.3223733901977539,7,True,0.3223733901977539,7.0,True,0.3488445281982422,7.0,True,0.3488445281982422
19,10,True,0.30173587799072266,10,True,0.30173587799072266,6.0,True,0.3180406093597412,6.0,True,0.3180406093597412
20,7,True,0.22220778465270996,8,True,0.25293970108032227,10.0,True,0.5219078063964844,10.0,True,0.5219078063964844
21,7,True,0.2197403907775879,7,True,0.2197403907775879,7.0,True,0.3698463439941406,7.0,True,0.3698463439941406
22,11,True,0.3821122646331787,12,True,0.41490912437438965,8.0,True,0.5053696632385254,8.0,True,0.5053696632385254
23,5,True,0.15146470069885254,6,True,0.21545672416687012,9.0,True,0.6328189373016357,,False,
24,7,True,0.6170916557312012,8,True,0.6963987350463867,4.0,True,0.31512975692749023,4.0,True,0.31512975692749023
25,14,True,0.4799630641937256,14,True,0.4799630641937256,,False,,,False,
26,13,True,0.38843631744384766,14,True,0.4179553985595703,8.0,True,0.4285767078399658,,False,
27,9,True,0.3013267517089844,10,True,0.33356547355651855,6.0,True,0.31989049911499023,6.0,True,0.31989049911499023
28,5,True,0.22888731956481934,5,True,0.22888731956481934,4.0,True,0.2026069164276123,4.0,True,0.2026069164276123
29,5,True,0.16682958602905273,7,True,0.23039770126342773,,False,,,False,
30,6,True,0.1915600299835205,7,True,0.22268986701965332,10.0,True,0.5355877876281738,10.0,True,0.5355877876281738
31,9,True,0.26495790481567383,10,True,0.2938570976257324,6.0,True,0.27683281898498535,6.0,True,0.27683281898498535
32,9,True,0.2587299346923828,9,True,0.2587299346923828,8.0,True,0.4232189655303955,8.0,True,0.4232189655303955
33,6,True,0.1826457977294922,7,True,0.21289491653442383,10.0,True,0.5072314739227295,10.0,True,0.5072314739227295
34,7,True,0.43889379501342773,7,True,0.43889379501342773,5.0,True,0.30910348892211914,5.0,True,0.30910348892211914
35,11,True,0.4046816825866699,12,True,0.43921971321105957,8.0,True,0.41314029693603516,8.0,True,0.41314029693603516
36,8,True,0.2477121353149414,8,True,0.2477121353149414,6.0,True,0.33270835876464844,6.0,True,0.33270835876464844
37,8,True,0.2326183319091797,9,True,0.2616384029388428,7.0,True,0.3472859859466553,7.0,True,0.3472859859466553
38,7,True,0.22226572036743164,10,True,0.33696746826171875,15.0,True,0.7676818370819092,15.0,True,0.7676818370819092
39,7,True,0.21208930015563965,8,True,0.2427830696105957,9.0,True,0.432173490524292,9.0,True,0.432173490524292
40,14,True,0.42095160484313965,15,True,0.45079970359802246,8.0,True,0.39152026176452637,8.0,True,0.39152026176452637
41,9,True,0.27053308486938477,9,True,0.27053308486938477,7.0,True,0.39432287216186523,7.0,True,0.39432287216186523
42,9,True,0.32811760902404785,9,True,0.32811760902404785,9.0,True,0.5021326541900635,9.0,True,0.5021326541900635
43,9,True,0.2676243782043457,9,True,0.2676243782043457,5.0,True,0.23119640350341797,5.0,True,0.23119640350341797
44,9,True,0.26476120948791504,9,True,0.26476120948791504,8.0,True,0.3685479164123535,8.0,True,0.3685479164123535
45,6,True,0.17762327194213867,6,True,0.17762327194213867,10.0,True,0.5021347999572754,10.0,True,0.5021347999572754
46,9,True,0.32107090950012207,9,True,0.32107090950012207,,False,,,False,
47,13,True,0.4262816905975342,13,True,0.4262816905975342,7.0,True,0.3350646495819092,,False,
48,6,True,0.18119120597839355,6,True,0.18119120597839355,11.0,True,0.52541184425354,11.0,True,0.52541184425354
49,15,True,0.47228026390075684,16,True,0.5034542083740234,10.0,True,0.4967079162597656,10.0,True,0.4967079162597656
50,8,True,0.23540472984313965,14,True,0.41031408309936523,6.0,True,0.2853384017944336,6.0,True,0.2853384017944336
51,9,True,0.2687811851501465,9,True,0.2687811851501465,6.0,True,0.28710508346557617,6.0,True,0.28710508346557617
52,11,True,0.47986602783203125,12,True,0.5123121738433838,7.0,True,0.3672006130218506,7.0,True,0.3672006130218506
53,8,True,0.24182772636413574,9,True,0.2705366611480713,8.0,True,0.37372660636901855,8.0,True,0.37372660636901855
54,6,True,0.21183061599731445,6,True,0.21183061599731445,14.0,True,0.7254221439361572,14.0,True,0.7254221439361572
55,8,True,0.25302577018737793,8,True,0.25302577018737793,8.0,True,0.4160594940185547,8.0,True,0.4160594940185547
56,6,True,0.18324804306030273,7,True,0.21255803108215332,9.0,True,0.42992115020751953,9.0,True,0.42992115020751953
57,7,True,0.20468950271606445,7,True,0.20468950271606445,5.0,True,0.24251818656921387,5.0,True,0.24251818656921387
58,8,True,0.23307347297668457,8,True,0.23307347297668457,6.0,True,0.28032875061035156,6.0,True,0.28032875061035156
59,10,True,0.29492735862731934,10,True,0.29492735862731934,6.0,True,0.30753517150878906,6.0,True,0.30753517150878906
60,7,True,0.22890710830688477,8,True,0.26399922370910645,4.0,True,0.2828521728515625,4.0,True,0.2828521728515625
61,7,True,0.2592802047729492,7,True,0.2592802047729492,5.0,True,0.24146175384521484,5.0,True,0.24146175384521484
62,16,True,0.5096173286437988,17,True,0.5391433238983154,11.0,True,0.5875527858734131,11.0,True,0.5875527858734131
63,9,True,0.30265092849731445,9,True,0.30265092849731445,10.0,True,0.4740884304046631,10.0,True,0.4740884304046631
64,5,True,0.15946578979492188,5,True,0.15946578979492188,11.0,True,0.5592203140258789,11.0,True,0.5592203140258789
65,8,True,0.24731040000915527,9,True,0.2775912284851074,6.0,True,0.30515360832214355,6.0,True,0.30515360832214355
66,7,True,0.3082561492919922,9,True,0.3729064464569092,12.0,True,0.6191253662109375,12.0,True,0.6191253662109375
67,7,True,0.21452069282531738,7,True,0.21452069282531738,7.0,True,0.3623776435852051,7.0,True,0.3623776435852051
68,14,True,0.44577693939208984,17,True,0.535341739654541,9.0,True,0.4596097469329834,9.0,True,0.4596097469329834
69,7,True,0.20688867568969727,7,True,0.20688867568969727,9.0,True,0.42996931076049805,,False,
70,9,True,0.3521406650543213,9,True,0.3521406650543213,21.0,True,1.3966648578643799,21.0,True,1.3966648578643799
71,13,True,0.3965799808502197,13,True,0.3965799808502197,9.0,True,0.42624807357788086,9.0,True,0.42624807357788086
72,7,True,0.20603656768798828,7,True,0.20603656768798828,7.0,True,0.3719663619995117,7.0,True,0.3719663619995117
73,8,True,0.2661294937133789,8,True,0.2661294937133789,7.0,True,0.3261582851409912,7.0,True,0.3261582851409912
74,13,True,0.8017375469207764,13,True,0.8017375469207764,6.0,True,0.29117393493652344,6.0,True,0.29117393493652344
75,10,True,0.38240885734558105,10,True,0.38240885734558105,5.0,True,0.25121045112609863,5.0,True,0.25121045112609863
76,6,True,0.1808176040649414,6,True,0.1808176040649414,8.0,True,0.4227278232574463,8.0,True,0.4227278232574463
77,9,True,0.31351590156555176,10,True,0.3447141647338867,6.0,True,0.29303956031799316,6.0,True,0.29303956031799316
78,14,True,0.42168140411376953,15,True,0.45143723487854004,6.0,True,0.35157346725463867,6.0,True,0.35157346725463867
79,10,True,0.29753994941711426,11,True,0.3269069194793701,22.0,True,1.172994613647461,22.0,True,1.172994613647461
80,11,True,0.33103466033935547,12,True,0.36104369163513184,4.0,True,0.1819896697998047,4.0,True,0.1819896697998047
81,8,True,0.2656559944152832,9,True,0.29529285430908203,8.0,True,0.38083553314208984,8.0,True,0.38083553314208984
82,7,True,0.23719000816345215,7,True,0.23719000816345215,9.0,True,0.4580838680267334,10.0,True,0.5419087409973145
83,5,True,0.15027594566345215,6,True,0.18072271347045898,,False,,,False,
84,7,True,0.22042393684387207,7,True,0.22042393684387207,10.0,True,0.548151969909668,10.0,True,0.548151969909668
85,6,True,0.199876070022583,7,True,0.23248505592346191,8.0,True,0.5397074222564697,11.0,True,0.7364101409912109
86,8,True,0.36368751525878906,8,True,0.36368751525878906,8.0,True,0.4363701343536377,8.0,True,0.4363701343536377
87,11,True,0.3370034694671631,20,True,0.6151840686798096,7.0,True,0.3390071392059326,7.0,True,0.3390071392059326
88,11,True,0.33635544776916504,11,True,0.33635544776916504,8.0,True,0.4136035442352295,8.0,True,0.4136035442352295
89,7,True,0.22317814826965332,8,True,0.2551560401916504,7.0,True,0.34667277336120605,7.0,True,0.34667277336120605
90,13,True,0.4720799922943115,13,True,0.4720799922943115,8.0,True,0.4569861888885498,8.0,True,0.4569861888885498
91,5,True,0.1810593605041504,5,True,0.1810593605041504,6.0,True,0.2948620319366455,6.0,True,0.2948620319366455
92,6,True,0.17670297622680664,6,True,0.17670297622680664,5.0,True,0.2361135482788086,5.0,True,0.2361135482788086
93,9,True,0.27177882194519043,10,True,0.30211377143859863,9.0,True,0.49774765968322754,9.0,True,0.49774765968322754
94,17,True,0.581434965133667,17,True,0.581434965133667,10.0,True,0.4890751838684082,10.0,True,0.4890751838684082
95,10,True,0.287952184677124,10,True,0.287952184677124,5.0,True,0.22845959663391113,5.0,True,0.22845959663391113
96,6,True,0.1793825626373291,6,True,0.1793825626373291,14.0,True,0.7198066711425781,14.0,True,0.7198066711425781
97,9,True,0.27710604667663574,9,True,0.27710604667663574,7.0,True,0.38610100746154785,7.0,True,0.38610100746154785
98,9,True,0.2694830894470215,10,True,0.29926586151123047,5.0,True,0.2267458438873291,5.0,True,0.2267458438873291
99,13,True,0.38406825065612793,13,True,0.38406825065612793,6.0,True,0.31453704833984375,6.0,True,0.31453704833984375
